pin,slack
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/o_DATA_RNI21LM01[1]:C,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/o_DATA_RNI21LM01[1]:Y,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/s_data_reg[10]:ALn,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/s_data_reg[10]:CLK,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/s_data_reg[10]:D,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/s_data_reg[10]:EN,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/s_data_reg[10]:Q,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_45_1_1_wmux_0_RNO_6:A,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_45_1_1_wmux_0_RNO_6:B,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_45_1_1_wmux_0_RNO_6:C,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_45_1_1_wmux_0_RNO_6:Y,
g_OLED_interface/s_ASCII[164]:ALn,
g_OLED_interface/s_ASCII[164]:CLK,
g_OLED_interface/s_ASCII[164]:D,
g_OLED_interface/s_ASCII[164]:EN,
g_OLED_interface/s_ASCII[164]:Q,
g_OLED_interface/font/s_PIXEL_63_6_.m302:A,
g_OLED_interface/font/s_PIXEL_63_6_.m302:B,
g_OLED_interface/font/s_PIXEL_63_6_.m302:C,
g_OLED_interface/font/s_PIXEL_63_6_.m302:Y,
g_OLED_interface/s_ASCII[393]:ALn,
g_OLED_interface/s_ASCII[393]:CLK,
g_OLED_interface/s_ASCII[393]:D,
g_OLED_interface/s_ASCII[393]:EN,
g_OLED_interface/s_ASCII[393]:Q,
g_OLED_interface/s_PIXEL_COUNT_reg[1]:ALn,
g_OLED_interface/s_PIXEL_COUNT_reg[1]:CLK,
g_OLED_interface/s_PIXEL_COUNT_reg[1]:D,
g_OLED_interface/s_PIXEL_COUNT_reg[1]:EN,
g_OLED_interface/s_PIXEL_COUNT_reg[1]:Q,
g_OLED_interface/font/s_PIXEL_63_6_.m156:A,
g_OLED_interface/font/s_PIXEL_63_6_.m156:B,
g_OLED_interface/font/s_PIXEL_63_6_.m156:Y,
g_OLED_interface/s_ASCII_8[602]:A,
g_OLED_interface/s_ASCII_8[602]:B,
g_OLED_interface/s_ASCII_8[602]:Y,
g_OLED_interface/s_state_reg[6]:ALn,
g_OLED_interface/s_state_reg[6]:CLK,
g_OLED_interface/s_state_reg[6]:D,
g_OLED_interface/s_state_reg[6]:Q,
g_OLED_interface/s_ASCII_8[149]:A,
g_OLED_interface/s_ASCII_8[149]:B,
g_OLED_interface/s_ASCII_8[149]:Y,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_1_RNO_2:A,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_1_RNO_2:B,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_1_RNO_2:C,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_1_RNO_2:D,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_1_RNO_2:Y,
g_OLED_interface/SCLK_clock_divider/o_CLK_DIV4_23:A,5853
g_OLED_interface/SCLK_clock_divider/o_CLK_DIV4_23:B,5812
g_OLED_interface/SCLK_clock_divider/o_CLK_DIV4_23:C,5765
g_OLED_interface/SCLK_clock_divider/o_CLK_DIV4_23:D,5660
g_OLED_interface/SCLK_clock_divider/o_CLK_DIV4_23:Y,5660
sw_ibuf[0]/U_IOIN:Y,
sw_ibuf[0]/U_IOIN:YIN,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/o_START_RNI6M1IL:A,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/o_START_RNI6M1IL:B,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/o_START_RNI6M1IL:C,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/o_START_RNI6M1IL:Y,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI/s_bit_reg_Z[0]:ALn,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI/s_bit_reg_Z[0]:CLK,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI/s_bit_reg_Z[0]:D,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI/s_bit_reg_Z[0]:Q,
g_OLED_interface/font/s_PIXEL_63_6_.m503:A,
g_OLED_interface/font/s_PIXEL_63_6_.m503:B,
g_OLED_interface/font/s_PIXEL_63_6_.m503:C,
g_OLED_interface/font/s_PIXEL_63_6_.m503:D,
g_OLED_interface/font/s_PIXEL_63_6_.m503:Y,
g_OLED_interface/s_ASCII_8[738]:A,
g_OLED_interface/s_ASCII_8[738]:B,
g_OLED_interface/s_ASCII_8[738]:Y,
g_OLED_interface/s_ASCII[268]:ALn,
g_OLED_interface/s_ASCII[268]:CLK,
g_OLED_interface/s_ASCII[268]:D,
g_OLED_interface/s_ASCII[268]:EN,
g_OLED_interface/s_ASCII[268]:Q,
g_OLED_interface/SCLK_clock_divider/s_ms_reg[13]:ALn,
g_OLED_interface/SCLK_clock_divider/s_ms_reg[13]:CLK,5906
g_OLED_interface/SCLK_clock_divider/s_ms_reg[13]:D,7798
g_OLED_interface/SCLK_clock_divider/s_ms_reg[13]:Q,5906
g_OLED_interface/s_count_reg[13]:ALn,
g_OLED_interface/s_count_reg[13]:CLK,
g_OLED_interface/s_count_reg[13]:D,
g_OLED_interface/s_count_reg[13]:EN,
g_OLED_interface/s_count_reg[13]:Q,
g_OLED_interface/s_count_reg[13]:SLn,
g_OLED_interface/s_ASCII_8[168]:A,
g_OLED_interface/s_ASCII_8[168]:B,
g_OLED_interface/s_ASCII_8[168]:Y,
g_OLED_interface/s_ASCII[184]:ALn,
g_OLED_interface/s_ASCII[184]:CLK,
g_OLED_interface/s_ASCII[184]:D,
g_OLED_interface/s_ASCII[184]:EN,
g_OLED_interface/s_ASCII[184]:Q,
g_OLED_interface/s_ASCII_8[589]:A,
g_OLED_interface/s_ASCII_8[589]:B,
g_OLED_interface/s_ASCII_8[589]:Y,
g_OLED_interface/s_ASCII_8[666]:A,
g_OLED_interface/s_ASCII_8[666]:B,
g_OLED_interface/s_ASCII_8[666]:Y,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.s_state_reg_ns_0_o2_0_3_0[2]:A,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.s_state_reg_ns_0_o2_0_3_0[2]:B,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.s_state_reg_ns_0_o2_0_3_0[2]:C,
g_OLED_interface/un1_s_ASCII_col_reg_2_1.s_state_reg_ns_0_o2_0_3_0[2]:Y,
g_OLED_interface/s_ASCII[149]:ALn,
g_OLED_interface/s_ASCII[149]:CLK,
g_OLED_interface/s_ASCII[149]:D,
g_OLED_interface/s_ASCII[149]:EN,
g_OLED_interface/s_ASCII[149]:Q,
g_OLED_interface/SCLK_clock_divider/s_ms_reg[5]:ALn,
g_OLED_interface/SCLK_clock_divider/s_ms_reg[5]:CLK,5807
g_OLED_interface/SCLK_clock_divider/s_ms_reg[5]:D,7835
g_OLED_interface/SCLK_clock_divider/s_ms_reg[5]:Q,5807
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/s_data_reg[37]:ALn,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/s_data_reg[37]:CLK,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/s_data_reg[37]:D,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/s_data_reg[37]:EN,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/s_data_reg[37]:Q,
g_OLED_interface/s_ASCII[714]:ALn,
g_OLED_interface/s_ASCII[714]:CLK,
g_OLED_interface/s_ASCII[714]:D,
g_OLED_interface/s_ASCII[714]:EN,
g_OLED_interface/s_ASCII[714]:Q,
g_OLED_interface/font/s_PIXEL_63_6_.m227_2_0:A,
g_OLED_interface/font/s_PIXEL_63_6_.m227_2_0:B,
g_OLED_interface/font/s_PIXEL_63_6_.m227_2_0:C,
g_OLED_interface/font/s_PIXEL_63_6_.m227_2_0:D,
g_OLED_interface/font/s_PIXEL_63_6_.m227_2_0:Y,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_16_RNO:A,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_16_RNO:B,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_16_RNO:C,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_16_RNO:D,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_16_RNO:Y,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/s_data_reg[28]:ALn,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/s_data_reg[28]:CLK,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/s_data_reg[28]:D,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/s_data_reg[28]:EN,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/s_data_reg[28]:Q,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_2_RNO_1:A,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_2_RNO_1:B,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_2_RNO_1:C,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_2_RNO_1:D,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_2_RNO_1:Y,
g_OLED_interface/SCLK_clock_divider/s_ms_reg[21]:ALn,
g_OLED_interface/SCLK_clock_divider/s_ms_reg[21]:CLK,5768
g_OLED_interface/SCLK_clock_divider/s_ms_reg[21]:D,7768
g_OLED_interface/SCLK_clock_divider/s_ms_reg[21]:Q,5768
g_OLED_interface/s_ASCII[288]:ALn,
g_OLED_interface/s_ASCII[288]:CLK,
g_OLED_interface/s_ASCII[288]:D,
g_OLED_interface/s_ASCII[288]:EN,
g_OLED_interface/s_ASCII[288]:Q,
g_OLED_interface/s_ASCII_8[757]:A,
g_OLED_interface/s_ASCII_8[757]:B,
g_OLED_interface/s_ASCII_8[757]:Y,
g_OLED_interface/s_ASCII_8[216]:A,
g_OLED_interface/s_ASCII_8[216]:B,
g_OLED_interface/s_ASCII_8[216]:Y,
g_OLED_interface/s_ASCII[452]:ALn,
g_OLED_interface/s_ASCII[452]:CLK,
g_OLED_interface/s_ASCII[452]:D,
g_OLED_interface/s_ASCII[452]:EN,
g_OLED_interface/s_ASCII[452]:Q,
g_OLED_interface/s_ASCII[336]:ALn,
g_OLED_interface/s_ASCII[336]:CLK,
g_OLED_interface/s_ASCII[336]:D,
g_OLED_interface/s_ASCII[336]:EN,
g_OLED_interface/s_ASCII[336]:Q,
g_OLED_interface/s_ASCII[453]:ALn,
g_OLED_interface/s_ASCII[453]:CLK,
g_OLED_interface/s_ASCII[453]:D,
g_OLED_interface/s_ASCII[453]:EN,
g_OLED_interface/s_ASCII[453]:Q,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/o_DATA_10_5_123_i_m2:A,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/o_DATA_10_5_123_i_m2:B,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/o_DATA_10_5_123_i_m2:C,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/o_DATA_10_5_123_i_m2:Y,
g_OLED_interface/s_ASCII_8[241]:A,
g_OLED_interface/s_ASCII_8[241]:B,
g_OLED_interface/s_ASCII_8[241]:Y,
g_OLED_interface/s_ASCII_8[754]:A,
g_OLED_interface/s_ASCII_8[754]:B,
g_OLED_interface/s_ASCII_8[754]:Y,
g_OLED_interface/s_ASCII[637]:ALn,
g_OLED_interface/s_ASCII[637]:CLK,
g_OLED_interface/s_ASCII[637]:D,
g_OLED_interface/s_ASCII[637]:EN,
g_OLED_interface/s_ASCII[637]:Q,
g_OLED_interface/s_ASCII_8[456]:A,
g_OLED_interface/s_ASCII_8[456]:B,
g_OLED_interface/s_ASCII_8[456]:Y,
g_OLED_interface/s_ASCII[121]:ALn,
g_OLED_interface/s_ASCII[121]:CLK,
g_OLED_interface/s_ASCII[121]:D,
g_OLED_interface/s_ASCII[121]:EN,
g_OLED_interface/s_ASCII[121]:Q,
g_OLED_interface/font/s_PIXEL_63_6_.m538_1_0_wmux_0:A,
g_OLED_interface/font/s_PIXEL_63_6_.m538_1_0_wmux_0:B,
g_OLED_interface/font/s_PIXEL_63_6_.m538_1_0_wmux_0:C,
g_OLED_interface/font/s_PIXEL_63_6_.m538_1_0_wmux_0:D,
g_OLED_interface/font/s_PIXEL_63_6_.m538_1_0_wmux_0:Y,
g_OLED_interface/s_ASCII_8[324]:A,
g_OLED_interface/s_ASCII_8[324]:B,
g_OLED_interface/s_ASCII_8[324]:Y,
g_OLED_interface/s_ASCII_8[317]:A,
g_OLED_interface/s_ASCII_8[317]:B,
g_OLED_interface/s_ASCII_8[317]:Y,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_3_RNO_3:A,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_3_RNO_3:B,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_3_RNO_3:C,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_3_RNO_3:D,
g_OLED_interface/font/s_PIXEL_63_6_.s_ASCII_PIXEL_pmux_63_1_0_wmux_3_RNO_3:Y,
g_OLED_interface/font/s_PIXEL_63_6_.m584:A,
g_OLED_interface/font/s_PIXEL_63_6_.m584:B,
g_OLED_interface/font/s_PIXEL_63_6_.m584:C,
g_OLED_interface/font/s_PIXEL_63_6_.m584:D,
g_OLED_interface/font/s_PIXEL_63_6_.m584:Y,
g_OLED_interface/s_ASCII[553]:ALn,
g_OLED_interface/s_ASCII[553]:CLK,
g_OLED_interface/s_ASCII[553]:D,
g_OLED_interface/s_ASCII[553]:EN,
g_OLED_interface/s_ASCII[553]:Q,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/o_DC:ALn,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/o_DC:CLK,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/o_DC:D,
g_OLED_interface/g_Nbit_MOSI_SPI_Buffer_Combined/g_Nbit_MOSI_SPI_Buffer/o_DC:EN,
