pin,slack
clkDiv/un1_counter_1_s_1_52_CC_0:CC[1],
clkDiv/un1_counter_1_s_1_52_CC_0:CC[2],
clkDiv/un1_counter_1_s_1_52_CC_0:CC[3],
clkDiv/un1_counter_1_s_1_52_CC_0:CC[4],
clkDiv/un1_counter_1_s_1_52_CC_0:CC[5],
clkDiv/un1_counter_1_s_1_52_CC_0:CC[6],
clkDiv/un1_counter_1_s_1_52_CC_0:CC[7],
clkDiv/un1_counter_1_s_1_52_CC_0:CC[8],
clkDiv/un1_counter_1_s_1_52_CC_0:CC[9],
clkDiv/un1_counter_1_s_1_52_CC_0:CO,
clkDiv/un1_counter_1_s_1_52_CC_0:P[0],
clkDiv/un1_counter_1_s_1_52_CC_0:P[10],
clkDiv/un1_counter_1_s_1_52_CC_0:P[11],
clkDiv/un1_counter_1_s_1_52_CC_0:P[1],
clkDiv/un1_counter_1_s_1_52_CC_0:P[2],
clkDiv/un1_counter_1_s_1_52_CC_0:P[3],
clkDiv/un1_counter_1_s_1_52_CC_0:P[4],
clkDiv/un1_counter_1_s_1_52_CC_0:P[5],
clkDiv/un1_counter_1_s_1_52_CC_0:P[6],
clkDiv/un1_counter_1_s_1_52_CC_0:P[7],
clkDiv/un1_counter_1_s_1_52_CC_0:P[8],
clkDiv/un1_counter_1_s_1_52_CC_0:P[9],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3A[0],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3A[10],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3A[11],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3A[1],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3A[2],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3A[3],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3A[4],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3A[5],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3A[6],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3A[7],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3A[8],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3A[9],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3[0],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3[10],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3[11],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3[1],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3[2],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3[3],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3[4],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3[5],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3[6],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3[7],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3[8],
clkDiv/un1_counter_1_s_1_52_CC_0:Y3[9],
slave/ready_r:A,8370
slave/ready_r:B,
slave/ready_r:Y,8370
outBit2_obuf/U_IOPAD:D,
outBit2_obuf/U_IOPAD:E,
outBit2_obuf/U_IOPAD:PAD,
I_1/U0_RGB1:A,
I_1/U0_RGB1:Y,
I_1/U0:A,
I_1/U0:Y,
clkDiv/N_1_inferred_clock_RNI2PS36/U0:A,
clkDiv/N_1_inferred_clock_RNI2PS36/U0:Y,
clkDiv/counter[12]:CLK,
clkDiv/counter[12]:D,
clkDiv/counter[12]:Q,
clk_ccc/PF_CCC_C0_0/pll_inst_0_1:A,
clk_ccc/PF_CCC_C0_0/pll_inst_0_1:Y,
clkDiv/un1_counter_1_cry_17:B,
clkDiv/un1_counter_1_cry_17:CC,
clkDiv/un1_counter_1_cry_17:P,
clkDiv/un1_counter_1_cry_17:S,
clkDiv/un1_counter_1_cry_17:Y3,
clkDiv/un1_counter_1_cry_17:Y3A,
clkDiv/un1_counter_1_cry_16:B,
clkDiv/un1_counter_1_cry_16:CC,
clkDiv/un1_counter_1_cry_16:P,
clkDiv/un1_counter_1_cry_16:S,
clkDiv/un1_counter_1_cry_16:Y3,
clkDiv/un1_counter_1_cry_16:Y3A,
inSwitch_ibuf[1]/U_IOIN:Y,
inSwitch_ibuf[1]/U_IOIN:YIN,
clkDiv/un1_counter_1_cry_5:B,
clkDiv/un1_counter_1_cry_5:CC,
clkDiv/un1_counter_1_cry_5:P,
clkDiv/un1_counter_1_cry_5:S,
clkDiv/un1_counter_1_cry_5:Y3,
clkDiv/un1_counter_1_cry_5:Y3A,
clkDiv/counter[13]:CLK,
clkDiv/counter[13]:D,
clkDiv/counter[13]:Q,
clkDiv/counter[13]:SLn,
slave/outBit4:CLK,
slave/outBit4:D,
slave/outBit4:Q,
rstn_ibuf/U_IOIN:Y,
rstn_ibuf/U_IOIN:YIN,
valid_ibuf/U_IOPAD:PAD,
valid_ibuf/U_IOPAD:Y,
clkDiv/un1_counter_1_cry_13:B,
clkDiv/un1_counter_1_cry_13:CC,
clkDiv/un1_counter_1_cry_13:P,
clkDiv/un1_counter_1_cry_13:S,
clkDiv/un1_counter_1_cry_13:Y3,
clkDiv/un1_counter_1_cry_13:Y3A,
inSwitch_ibuf[1]/U_IOPAD:PAD,
inSwitch_ibuf[1]/U_IOPAD:Y,
clk_ccc/PF_CCC_C0_0/clkint_0_1:A,
clk_ccc/PF_CCC_C0_0/clkint_0_1:Y,
outBit1_obuf/U_IOTRI:D,
outBit1_obuf/U_IOTRI:DOUT,
outBit1_obuf/U_IOTRI:EOUT,
master/outValid_r:A,
master/outValid_r:B,
master/outValid_r:Y,
clkDiv/counter[15]:CLK,
clkDiv/counter[15]:D,
clkDiv/counter[15]:Q,
clkDiv/counter[15]:SLn,
inSwitch[1],
inSwitch[0],
clk,
rstn,
valid,
outBit1,
outBit2,
outBit3,
outBit4,
